morning	afternoon	evening	dentist	doctor	weekend	holiday	school	office	house	park	restaurant
breakfast		bed	tooth			birthday					menu
toaster		tired	hurts			cake					bathroom
waffles		sleep	water			candle					table
toast		pajamas	dry			piñata					water
eggs		stars	wet								wash
bacon		dark	mouth								salt
sandwich		nightlight	choking								pepper
drink		lamp	floss								cost
eat		bath	cavity								waiter
hungry		shower	gentle								well-done
thirsty		floss	gums								rare
clothes			cold								raw
shoes			hot								toppings
socks			novocain								
pants			tongue								
shirt											
hat											
sunglasses											
glasses											
